"","Date","TrancheID","Mgr","REDate","Price","Yield","DM","CpnRate","NAV","WAS","WAL","MVOC","JPM_DM","T2R"
"28",2018-06-06,"BABS15-2.FR","Barings LLC (fka Babson Capital Management)",2022-10-20,97.27409,0.12978,0.10074,8.18,54.0668,3.46635,3.3261,104.8158,748.0841,4.37234770704997
"29",2018-06-14,"OCP_14-5.ER","Onex Credit Partners LLC",2023-04-26,94,0.132866742345737,0.103750056523787,7.65,33.5969037644842,3.30751,4.2626,104.690882532266,749.156534696185,4.86516084873374
"30",2018-06-06,"OCT_17.FR2","Octagon Credit Investors, LLC",2023-01-25,95,0.1288,0.0996,7.2,31.4123,3.46467,4.1919,104.2489,748.0841,4.63791923340178
"31",2018-06-06,"OCT_XIV.ER","Octagon Credit Investors, LLC",2022-07-15,98.5,0.1284,0.0994,8.35,46.1425,3.45736,3.4864,104.9151,748.0841,4.10677618069815
"32",2018-06-12,"ARES_37.ER","Ares Management, LLC",2022-10-17,95.4692083717184,0.126450103145223,0.0973001017322746,7.27,76.7296463899172,3.271,3.2233,105.71389973154,749.669050105971,4.34770704996578
"33",2018-06-12,"DRYDEN37.FR","PGIM",2023-01-17,95.841099316133,0.126262583717184,0.097100081950999,7.48,68.0487500890157,3.296,3.7808,105.923199997174,749.669050105971,4.59958932238193
"34",2018-06-12,"DRYDEN41.FR","PGIM",2023-04-17,94.5411049679261,0.126181314465764,0.0969813116398678,7.2,55.7639501624891,3.2476,3.9912,105.284650015542,749.669050105971,4.84599589322382
"35",2018-06-12,"OZLMFUND.ER2","Och-Ziff Loan Management LP",2021-07-22,95.249950546811,0.130225229604092,0.101525226778195,7.05,44.4502984966231,3.35822,2.3517,105.165299824794,749.669050105971,3.11019849418207
"37",2018-06-13,"OCT_17.FR2","Octagon Credit Investors, LLC",2023-01-25,92.8,0.13756,0.10806,7.2,31.3406,3.46467,4.1919,104.1899,749.7807,4.61875427789186
"38",2018-06-21,"APEX18.F","Jefferies Finance LLC",2023-04-25,93.3124947038387,0.136325026127729,0.107250028246194,7.5,68.3166,3.5663,3.1857,106.443448228964,749.204698364545,4.84325804243669
"40",2018-06-18,"OZLMFD_6.ES","Och-Ziff Loan Management LP",2023-04-17,97.75,0.1346,0.1055,8.64,36.9745,3.42515,4.2833,103.413,750.6052,4.82956878850103
"41",2018-06-20,"SHACKLE3.FR","Alcentra Inc.",2022-07-15,95,0.1479,0.1188,8.02,26.1699,3.30797,3.2299,103.9552,747.7443,4.0684462696783
"42",2018-06-28,"APEX18.F","Jefferies Finance LLC",2023-04-25,93.25,0.136574993647119,0.10802500494113,7.5,66.6746643151594,3.5663,3.1857,106.301544828755,748.041798063077,4.82409308692676
"45",2018-06-28,"BARN17-1.F","Barings LLC (fka Babson Capital Management)",2022-07-18,95.5514551822468,0.12989998305994,0.101574980942432,7.45,64.0349936841808,3.33807,2.7924,105.606598068833,747.995951096869,4.05475701574264
"46",2018-07-02,"APEX18.F","Jefferies Finance LLC",2023-04-25,93.25,0.1375,0.1086,7.5,64.2595,3.5663,3.1857,106.1752,749.2791,4.81314168377823
"47",2018-07-03,"EVCLO151.FR","Eaton Vance Management",2023-01-20,98.25,0.126199997177454,0.0975000028225465,7.97,54.6560490417455,3.0865,3.785,104.71045054334,749.47350548703,4.55030800821355
"48",2018-07-03,"SHACKLE3.FR","Alcentra Inc.",2022-07-15,95,0.149249998588727,0.12055000423382,8.02,23.7123005278162,3.32612,3.1945,103.581800626605,749.47350548703,4.03285420944558
"49",2018-07-13,"APEX18.F","Jefferies Finance LLC",2023-04-25,93.25,0.138250053605688,0.109575043730956,7.5,65.2424662904864,3.5663,3.1857,106.016112786367,750.3889,4.78302532511978
"50",2018-07-10,"CIFC2014.FR2","CIFC Asset Management LLC",2023-01-18,94.42857143,0.13912857,0.11042857,7.9,34.0341,3.38788,3.8392,103.8483,750.3889,4.52566735112936
"51",2018-07-10,"VENT_17.FRR","MJX Asset Management LLC",2020-04-15,94.25,0.1678,0.13985,7.57,40.1277,3.67876,1.1232,104.5465,750.3889,1.76591375770021
